Inns,Wkt,Runs,Overs,RR,Player1,Player1_Runs,Player2,Player2_Runs,Start,Overs_Start,End,Overs_End,Team
1,1st,78,15,5.2,DA Warner,38,CJL Rogers,35,0,0,1/78,14.6,AU
1,2nd,284,80.4,3.52,CJL Rogers,138,SPD Smith,139,1/78,14.6,2/362,95.4,AU
1,3rd,21,11.1,1.88,MJ Clarke,7,SPD Smith,12,2/362,95.4,3/383,106.5,AU
1,4th,43,12.4,3.39,AC Voges,25,SPD Smith,18,3/383,106.5,4/426,119.3,AU
1,5th,16,4,4,MR Marsh,12,SPD Smith,4,4/426,119.3,5/442,123.3,AU
1,6th,91,16.1,5.62,SPD Smith,42,PM Nevill,44,5/442,123.3,6/533,139.4,AU
1,7th,3,1.5,1.63,PM Nevill,1,MG Johnson,2,6/533,139.4,7/536,141.3,AU
1,8th,30,7.3,4,MG Johnson,13,MA Starc,12,7/536,141.3,8/566,148.6,AU
2,1st,0,0.2,0,A Lyth,0,AN Cook,0,0,0,1/0,0.2,EN
2,2nd,28,8.1,3.42,GS Ballance,23,AN Cook,5,1/0,0.2,2/28,8.3,EN
2,3rd,1,0.4,1.5,IR Bell,1,AN Cook,0,2/28,8.3,3/29,9.1,EN
2,4th,1,1.2,0.75,JE Root,1,AN Cook,0,3/29,9.1,4/30,10.3,EN
2,5th,145,43.4,3.32,BA Stokes,87,AN Cook,50,4/30,10.3,5/175,54.1,EN
2,6th,35,11,3.18,JC Buttler,13,AN Cook,21,5/175,54.1,6/210,65.1,EN
2,7th,56,13.1,4.25,AN Cook,20,MM Ali,28,6/210,65.1,7/266,78.2,EN
2,8th,28,7.2,3.81,MM Ali,11,SCJ Broad,13,7/266,78.2,8/294,85.4,EN
2,9th,12,2.1,5.53,MA Wood,4,SCJ Broad,8,8/294,85.4,9/306,87.5,EN
2,10th,6,2.2,2.57,SCJ Broad,0,JM Anderson,6,9/306,87.5,10/312,90.1,EN
3,1st,114*,27,0,CJL Rogers,49,DA Warner,60,0,0,0/114,26.6,AU
3,1st,51,26.6,0,DA Warner,23,SPD Smith,28,0/114,27,1/165,36.2,AU
3,2nd,45,6.3,6.92,SPD Smith,30,MJ Clarke,15,1/165,36.2,2/210,42.5,AU
3,3rd,44*,6.1,7.13,MJ Clarke,17,MR Marsh,27,2/210,42.5,2/254,49,AU
4,1st,12,4.3,2.66,A Lyth,7,AN Cook,5,0,0,1/12,4.3,EN
4,2nd,11,4.1,2.64,AN Cook,6,GS Ballance,5,1/12,4.3,2/23,8.4,EN
4,3rd,19,7.3,2.53,GS Ballance,9,IR Bell,10,2/23,8.4,3/42,16.1,EN
4,4th,6,9.2,0.64,IR Bell,1,JE Root,4,3/42,16.1,4/48,25.3,EN
4,5th,4,0.5,4.8,BA Stokes,0,JE Root,0,4/48,25.3,5/52,26.2,EN
4,6th,12,1.5,6.54,JC Buttler,11,JE Root,1,5/52,26.2,6/64,28.1,EN
4,7th,0,0.4,0,MM Ali,0,JE Root,0,6/64,28.1,7/64,28.5,EN
4,8th,37,5.1,7.16,SCJ Broad,25,JE Root,12,7/64,28.5,8/101,33.6,EN
4,9th,0,0.3,0,JE Root,0,MA Wood,0,8/101,33.6,9/101,34.3,EN
4,10th,2,2.3,0.8,JM Anderson,0,MA Wood,2,9/101,34.3,10/103,36.6,EN
